dataset,doc_id,key,text,source,version,iteration,paraphraser,split
xsum,xsum|xsum-492,xsum-492,"An ISI official told the BBC the compound in Abbottabad where Bin Laden was killed by US forces on Sunday had been raided several years ago. But the compound ""was not on our radar"" since then, the official said. The government of Pakistan has categorically denied any knowledge of the raid before it took place. No base within Pakistan was used by US forces, the ministry of foreign affairs said in a statement. It went on: ""US helicopters entered Pakistani airspace making use of blind spots in the radar coverage due to hilly terrain."" However, the ministry defended the ISI, saying: ""As far as the target compound is concerned, ISI had been sharing information with CIA and other friendly intelligence agencies since 2009."" Bin Laden, 54, was the founder and leader of al-Qaeda. He is believed to have ordered the attacks on New York and Washington on 11 September 2001, as well as a number of other deadly bombings. The ISI official gave new details of the raid, saying Bin Laden's young daughter had said she saw her father shot. He told the BBC's Owen Bennett-Jones in Islamabad that the compound in Abbottabad, just 100km (62 miles) from the capital, was raided when under construction in 2003. It was believed an al-Qaeda operative, Abu Faraj al-Libi, was there. But since then, ""the compound was not on our radar, it is an embarrassment for the ISI,"" the official said. ""We're good, but we're not God."" He added: ""This one failure should not make us look totally incompetent. Look at our track record. For the last 10 years, we have captured Taliban and al-Qaeda in their hundreds - more than any other countries put together."" The compound is about a kilometre from the Pakistan Military Academy - the country's equivalent of West Point or Sandhurst. The ISI official also gave new or differing accounts of some of the events of Sunday's raid. They included: The official said it was thought the Americans wanted to take away the surviving women and children but had to abandon the plan when one of the helicopters malfunctioned. By Owen Bennett-JonesBBC News, Islamabad Clearly there were people helping Bin Laden in this location.... were they state employees, were they simply from Taliban-related groups, were they from the intelligence agencies? For all Americans may ask the questions, I doubt they will get any answers. There will be ambiguity about this and the Pakistanis will deny they had any knowledge whatsoever. The establishment here is made up of army leadership, intelligence agency leadership and some senior civil servants, and they have always run Pakistan, whether democratic governments or military governments, and those people do have connections with jihadis. The difficulty the West has is in appreciating there are more than 20 different types of jihadi organisations, and al-Qaeda is just one of them. The state has different policies towards different types of group and that subtlety is often lost on Western policy-makers. The helicopter was destroyed by the special forces unit. The US has not commented on anyone it captured or had planned to capture, other than saying it had taken Bin Laden's body. The ISI official said the organisation had recovered some documents from the compound. The CIA is already said to be going through a large number of hard drives and storage devices seized in the raid. The White House has not disclosed whether anyone has claimed the 25m (PS15m) reward for leading the US to Bin Laden. White House counter-terrorism adviser John Brennan said there had been concern Pakistani forces would deploy to counter the US Navy Seal team conducting the raid but it had avoided any confrontation. The ISI official said: ""We were totally caught by surprise. They were in and out before we could react."" Our correspondent says residents near the compound in Abbottabad reported that Pakistani soldiers had asked them to switch off their lights an hour before the attack, but the ISI official said this was not true and that it had no advance knowledge of the raid. Earlier, in an opinion piece in the Washington Post, President Asif Ali Zardari admitted Bin Laden ""was not anywhere we had anticipated he would be."" But he denied the killing suggested Pakistan was failing in its efforts to tackle terrorism. Mr Zardari said Pakistan had ""never been and never will be the hotbed of fanaticism that is often described by the media."" ""Such baseless speculation may make exciting cable news, but it doesn't reflect fact,"" he said. ""Pakistan had as much reason to despise al-Qaeda as any nation. The war on terrorism is as much Pakistan's war as it is America's."" Mr Brennan had said it was ""inconceivable that Bin Laden did not have a support system"" in Pakistan. He estimated Bin Laden had been living in the compound in Abbottabad for five or six years. Pakistani Foreign Secretary Salman Bashir tried to draw a line under the matter, saying: ""Who did what is beside the point.... This issue of Osama Bin Laden is history."" Bin Laden was America's most wanted man but had eluded capture for more than a decade. US officials say that after DNA tests they are ""99.9"" sure that the man they shot and killed and later buried at sea was Bin Laden. US President Barack Obama watched the entire operation in real time in the White House with his national security team. Mr Brennan said: ""The minutes passed like days."" CIA director Leon Panetta narrated via a video screen from a separate Washington office, with Bin Laden given the code name Geronimo. Mr Panetta's narration lasted several minutes. ""They've reached the target.... We have a visual on Geronimo.... Geronimo EKIA (enemy killed in action)."" Mr Obama said: ""We got him."" Bin Laden, his son Khalid, trusted personal courier Sheikh Abu Ahmed and the courier's brother were all killed, along with an unidentified woman. Bin Laden was shot above his left eye, blowing away a section of his skull, and was also shot in the chest. The BBC's Andrew North in Washington says the White House is still discussing whether to release a video that was made of Bin Laden's burial from an aircraft carrier in the Arabian Sea, which some Islamic scholars have said did not conform with tradition. Our correspondent says many people will want proof that Bin Laden is dead but the White House will be concerned about the reaction if the video, and still photographs of the body, are released.",Human,original,t0,none,test
xsum,xsum|xsum-493,xsum-493,"Ron Stone has been described as a ""true champion"" of St George West, the ward he had represented on Bristol City Council since 1985. The leader of the Labour group at the council, Helen Holland, said: ""Ron will be remembered as a steadfast campaigner and committed socialist."" Mr Stone died aged 73 on Wednesday. Ms Holland said he was ""dedicated to furthering social justice and equality in Bristol and beyond."" She added: ""The Labour Party has lost one of its most committed councillors. ""Bristol is a better city because of Ron Stone's unwavering public service."" The city's mayor, George Ferguson, said Mr Stone had ""an undying passion for Bristol."" ""I always enjoyed his directness and wry humour - even when directed at me. ""As a councillor for St George West for 30 years, Ron had a vast knowledge of his neighbourhood and the people he served, making him an excellent ward councillor who made a real difference. ""With his keen sense of social justice, Ron made an enormous contribution to life in Bristol. He was an'establishment rebel', always without his civic robes but seldom without his camera, recording people and events."" Mr Stone's roles at the council included chairing the licensing committee and the St George Neighbourhood Partnership. The lord mayor of Bristol, councillor Clare Campion-Smith, said: ""Ron was a hugely dedicated councillor who made a great contribution to his community, constituents, the council and the city over his 30 years of service. ""He was an active and passionate councillor whose presence in the chamber enlivened and enriched any debate.""",Human,original,t0,none,test
xsum,xsum|xsum-494,xsum-494,"The 25-year-old, who is 6ft 9ins tall, joined the Minstermen from Tranmere Rovers on a two-year deal in May, but has only made five appearances. Mooney's first stint in professional football in England was at Wycombe and he spent time at Conference North side Oxford City before joining Tranmere. He is available for Alfreton's game against Welling United on Saturday.",Human,original,t0,none,test
xsum,xsum|xsum-495,xsum-495,"The man, 31, approached Police Community Support Officers guarding a cordon in Albert Road in Plymouth on Thursday evening. Devon and Cornwall Police said it was believed he was assaulted in nearby Exmouth Road. Two men have been arrested in connection with the stabbing. More on this and the latest on what's happening in Devon here A force spokesman said the injured man was in a ""critical condition"" in Derriford Hospital. Two men, aged 58 and 46, were arrested on suspicion of assault causing grievous bodily harm with intent. They are awaiting questioning.",Human,original,t0,none,test
xsum,xsum|xsum-497,xsum-497,"Its reach has also expanded across the Sahel region south of the Sahara Desert, attracting members from Mauritania, Morocco, Niger and Senegal as well as from within Mali where, in alliance with other Islamists, it is fighting French troops on the ground. During the Mali crisis, its fighters have dramatically increased their profile, allowing them to further their aim of spreading Islamic law and jihad across West Africa. AQIM's influence over other nascent Islamist cells comes from its wealth: it is one of the region's best-armed groups thanks to the money it makes from kidnapping Westerners and drug and cigarette trafficking across the Sahara. It emerged in early 2007, after a feared militant group, the Salafist Group for Preaching and Combat (GSPC), aligned itself with Osama Bin Laden's international network. Back in the 1990s, against a background of Islamist political groups testing their strength across North Africa, the military-backed authorities in Algeria at first permitted the Islamists to play a full part in the nation's political life. But then, when the Islamic Salvation Front was poised to sweep the board in a 1992 general election, they annulled the whole process and took power back. The political ferment immediately moved into violence. Armed Islamists mounted attacks across Algeria, the security forces fought back; and sometimes it was hard to tell which group had carried out which atrocity. Other states in the region - Tunisia and Morocco, Mauritania to the west and Libya to the east - also battled against Islamists. But the conflict in Algeria was particularly brutal, killing perhaps 150,000 people. It peaked in the 1990s, until an amnesty offer to Islamists in 1999 led to gradual improvements. Violence fell and the country's economy recovered during the early years of the 21st Century. However, the most feared of the militant organisations, the Armed Islamic Group or GIA, rejected the promised amnesty and continued a violent campaign to establish an Islamic state. By then it had split, with the most extreme faction calling itself the Salafist Group for Preaching and Combat - a name which echoed an Islamist group in Morocco. The Arabic word ""Salafist"" means fundamentalist, in the sense of going back to the original texts of Islam. In September 2006 the GSPC said it had joined forces with al-Qaeda, and in January 2007 it announced that it had changed its name to Al-Qaeda in the Islamic Maghreb to reflect its new allegiance. At the time there had been much debate in intelligence circles about the significance of the move. Some officials dismissed it as an act of desperation by a group on its last legs, seeking to attract new recruits by aligning itself with Osama Bin Laden. Others, who saw it as far more worrying development, proved correct, as al-Qaeda has succeeded in persuading North Africa's Islamist extremists to take a more global view. In fact, the head of the US Africa Command said he believed that in 2012 AQIM, Nigeria's Boko Haram and the Somali Islamist group al-Shabab were co-ordinating their efforts. The merger announcement delighted al-Qaeda's then deputy leader Ayman al-Zawahiri, who described it at the time as ""a source of chagrin, frustration and sadness"" for Algeria's authorities. Shortly afterwards, seven bombs exploded in Algeria's eastern Kabylia region, killing six people, and in April 2007 at least 30 people were killed in bomb attacks on official buildings in Algiers. AQIM said it had planted the bombs. More attacks followed: on buses carrying foreign oil workers; on American diplomats; on soldiers; and in September 2007, a suicide bomb attack in Batna, aimed at the motorcade of President Abdelaziz Bouteflika. The president was not injured, but 20 people were killed. Two days later, a car bomb killed more than 30 people at a coastguard barracks in the town of Dellys. In December, twin car bombs claimed by AQIM killed at least 37 people in Algiers, including 17 UN staff. The death toll continued to mount in 2008. Back-to-back attacks on 19 and 20 August killed dozens of people. The first was a suicide car bombing at a police college in Issers, east of Algiers, killing 48 people. A day later, two more car bombings struck in quick succession in Bouira, south-east of Algiers. The second explosion in Bouira killed 12 Algerian employees of the Canadian engineering firm SNC-Lavalin. The attacks continued into 2009, when suspected al-Qaeda militants in February killed nine security guards who were working for the state-owned gas and electricity distributor Sonelgaz at a camp near Jijel, east of Algiers. Algerian Islamists represent the largest national grouping in al-Qaeda, according to Jill Carroll's 2007 briefing paper How Did Al-Qaeda Emerge in North Africa? Abdelaziz Belkhadem, Algeria's prime minister in 2007, warned that the bombers wanted to take the North African country back to ""the years of hardship."" But other incidents across the Maghreb pointed to the group's regional ambitions. In January that year, 12 people were shot dead by the security forces in Tunisia near the small town of Solimane, south of the capital, Tunis. The authorities initially described their adversaries as criminals but later admitted that the men were Islamist militants with connections to the GSPC. Meanwhile, Morocco's security forces clamped down on several militant cells - arresting, trying and jailing their leaders - after four incidents blamed on al-Qaeda-inspired groups in 2007. The security forces were said to be on the lookout for militants who were believed to be crossing into Morocco from Algeria. And of course the Madrid train bombs, which killed almost 200 people in 2004, were the work of a Moroccan gang. In December 2008, AQIM militants abducted the United Nations special envoy, Robert Fowler, and his assistant, Louis Guay, near Niger's capital, Niamey. They were released in April 2009. The group also seized four European tourists who disappeared in January 2009 along the Mali-Niger border. Two were freed in April. The group threatened to kill one of the remaining pair - a Briton - unless a radical Islamic cleric convicted of terrorism in Jordan, Abu Qatada, was released from jail in the UK. And in June 2009 the British government said it believed AQIM's claims on an Islamist website that the death threat had been carried out against the British captive, Edwin Dyer. In July 2010 AQIM said it had killed French hostage Michel Germaneau - kidnapped in northern Niger three months earlier and transferred to Mali - in revenge for the killing of seven comrades in a failed rescue raid. In November 2011 a German was killed and three other foreigners kidnapped by AQIM in the ancient tourist city of Timbuktu in northern Mali. The group is thought to have between 600 and 800 fighters spread throughout Algeria and Europe - and according to the independent think-tank the Council on Foreign Relations, most of its major commanders trained in Afghanistan. Since 2004, the leader of the militants is thought to be Abou Mossab Abdelwadoud, a former university science student and infamous bomb-maker. In 2005, deputy GSPC leader Amari Saifi was sentenced to life in prison by an Algiers court for kidnapping 32 European tourists in 2003. The former paratrooper was captured by Chadian rebels in mysterious circumstances and passed on to Libya before standing trial in Algeria. Another leading member was Mokhtar Belmokhtar, known as ""The One-Eyed,"" a former soldier and infamous cigarette smuggler at the centre of the 2013 hostage drama in Algeria. He left AQIM in late 2012 after falling out with some leaders and has been involved in operations in Mali. He organised the importation of arms for the underground network from Niger and Mali. He is wanted in Algeria on terrorism charges.",Human,original,t0,none,test
xsum,xsum|xsum-498,xsum-498,"Katie Locke, 23, was found dead at Theobolds Park Hotel in Waltham Cross, Hertfordshire. She had been strangled. Carl Langdell admitted the charge of murder when he appeared at St Albans Crown Court via a video link from Bedford Prison. A psychiatric report is to be prepared on Langdell who was remanded in custody and will be sentenced on 18 April. Ann Evans, for the prosecution, said: ""What needs to be established are the circumstances of Katie's death. There was a no comment interview with the police."" Benjamin Aina QC, defending, said Langdell admitted deliberately and intentionally killing Katie in a hotel room. He said his client had been seeking psychiatric help after being convicted of making threats to kill in Bristol. Miss Locke's family were in court for the hearing. In a statement released by police at the time of her death, they said: ""As a family we are distraught, in shock and totally devastated. There was not a bad bone in Katie's body. ""Katie worked hard and loved her job as a teacher. In what little spare time she had she enjoyed sports. ""We now feel like our future has been stolen from us.""",Human,original,t0,none,test
xsum,xsum|xsum-499,xsum-499,"Adam Wilson, of Lostock Hall, was found with serious injuries at a property on Albrighton Crescent in Lostock Hall near Preston in September. Jason Taylor, 21, of Westfield, Lostock Hall denied murder but was found guilty after a trial by jury. At Preston Court, he was ordered to serve a minimum of 25 years. Mr Wilson died as a result of catastrophic bleeding from a stab wound in his thigh, the Crown Prosecution Service (CPS) said. Sophie Lorimer from the CPS North West said the ""brutal attack"" in front of his ex-partner was ""purely motivated by jealousy."" ""He could not accept that the relationship with his ex-girlfriend was over,"" she said. Taylor's girlfriend said he bombarded her with text messages and phone calls which ""progressively became more and more abusive."" ""The final text he sent to her stated he was giving her one last chance before things turned sour. ""Minutes later he violently broke into her house where Adam Wilson was also present."" Ms Lorimer said Taylor then stabbed Mr Wilson numerous times with a large knife which he had taken with him. Taylor carried out the ""frenzied"" knife attack ""fully aware"" there were two young children also present at the house, she said. He then fled and hid from police in a neighbouring garden, she added. Ms Lorimer said Taylor had shown ""no remorse"" throughout the case in which he claimed he was acting in self-defence. Det Ch Insp Neil Ashton of Lancashire Police said Taylor's actions were carried out ""in anger and jealousy."" He said: ""His actions were completely unprecedented and resulted in the needless and very sad loss of a young man's life.""",Human,original,t0,none,test
xsum,xsum|xsum-500,xsum-500,"But they have also had three points deducted after the game on 14 October was disrupted when a drone flew over the stadium with a political message. The drone carried a pro-Albania flag. Crowd disturbance and a brawl between players followed at Partizan Stadium. Both countries have confirmed they will appeal against the rulings. Uefa's Control, Ethics and Disciplinary Body (CEDB) deemed that Albania had forfeited the match and in doing so lost 3-0. But it also decided to penalise Serbia over the crowd trouble. It ruled Serbia must also play two home qualifying games behind closed doors and fined both FAs 100,000 euros each. A statement from the Serbian FA confirmed it will submit an appeal within five days of receiving Uefa's full written decisions. The Albanian FA earlier released a similar response. Bardhyl Minxhozi, a senior member of the Albanian Football Federation's executive committee, told BBC Sport it was ""a very sad day for European football."" Media playback is not supported on this device He added: ""It's a very disappointing decision, not only for Albanian fans from a football point of view, but it's a decision which is unacceptable from a legal and a technical point of view. ""We have a very dangerous precedent from this decision."" Serbia will have to play their Group I Euro 2016 qualifiers against Denmark and Armenia in an empty stadium. The match between the Balkan sides earlier this month, at which no away fans were permitted, was interrupted late in the first half when a flag depicting a notional'Greater Albania', was flown over the terraces and pitch by what appeared to be a remote-controlled drone. Serbia's Stefan Mitrovic grabbed the flag, prompting an angry reaction from Albanian players. A brawl between the players followed after several Albanian players snatched the flag from Mitrovic and they then had to run into the tunnel for cover as some home fans invaded the pitch and attacked them. Premier League referee Martin Atkinson suspended play in the 41st minute with the score at 0-0 and Uefa confirmed the match had been abandoned after a delay of about 30 minutes. Albanian fans had been banned from entering the stadium by Uefa on safety grounds and the match was set against a backdrop of tight security. There are long-standing tensions between the nations over Kosovo, the province with which both share a disputed border, and which is recognised as independent by the United States and major European Union countries. It is not recognised as independent by Serbia - a bone of contention with Albania. The two sides are due to meet in their return fixture next October.",Human,original,t0,none,test
xsum,xsum|xsum-501,xsum-501,"Melissa Reid, 22, from Lenzie, near Glasgow, was arrested with Michaella McCollum, of Co Tyrone, after being caught with 24lb (11kg) of cocaine at Lima airport in 2013. They struck a plea deal for a reduced sentence of six years and eight months. Reid, who was expelled from Peru under an early release scheme, arrived at Glasgow Airport on Wednesday evening. She touched down in Glasgow at 21:44 after travelling from Lima, via Amsterdam, with her father William. She did not appear before waiting media at the international arrivals area, and is thought to have accepted an airside transfer. It is understood that Reid will not have a criminal record in the UK as a result of her Peruvian conviction. Any offences she committed in the UK before she became a drugs mule would remain. McCollum, 23, was released at the end of March under parole conditions which mean that she has to remain in Peru for an undisclosed period of time. Reid has served about a third of her sentence and under Peruvian law was eligible to be deported according to the early release scheme for foreign prisoners. She has also paid a fine of 10,000 Peruvian soles, just over PS2,000. A spokeswoman for Peru's prison service, Janeth Sanchez, said Reid ""served her time in prison according to the law and can now go to her country, free."" A Scottish Prison Service spokeswoman confirmed it was not involved with Reid's case. Both Reid and McCollum were caught with an estimated PS1.5m-worth of cocaine at Lima airport on 6 August 2013 while attempting to board a flight to Madrid, in Spain. The cocaine was discovered in food packets hidden inside their luggage. They had initially claimed they were forced to carry the drugs, but pleaded guilty to charges later that year. They had faced the prospect of a maximum 15-year prison term but struck a behind closed doors plea bargain to secure a shorter sentence. Following her release, McCollum told the Irish broadcaster RTE she had been ""very naive, so young and very insecure."" Reid's father William has previously said the impact of his daughter's imprisonment on his family had been ""horrendous."" A spokeswoman for the Foreign Office said: ""We continue to provide assistance to Melissa Reid and remain in contact with her family and local authorities.""",Human,original,t0,none,test
xsum,xsum|xsum-502,xsum-502,"Concern is mounting about the potential of a vicious power struggle in Addis Ababa, triggering a negative chain reaction across the region. For many of Ethiopia's Horn allies, the death has come at an awkward moment, not least because a delicate political transition in Somalia is incomplete and under serious strain, and a stand-off between South Sudan and Sudan risks dragging the region into a new armed conflagration. Mr Meles was a complex figure, hard to pigeon-hole, much less force into a one-dimensional portrait frame. A mystique has over the years grown around his personality and politics, making the task to objectively assess his legacy difficult and highly fraught. To use a Churchillian phrase, the man was a riddle and a mystery inside an enigma, and by extension so too the secretive state he presided over. But he was the one African leader who was impossible to ignore. The diminutive ex-guerilla leader was a towering figure whose austere, unsmiling and understated public persona often belied his great influence and charisma. Since 1991 he has been the undisputed and pre-eminent key player in the Horn - a formidable strategist whose role remained indispensable in the regional efforts to resolve deadly conflicts and contain militant Islamism. Domestically, his legacy is contested. To his ardent fans, he was a true revolutionary impelled by a great sense of mission to overturn the residual feudal and Stalinist structures of the ancient regime. He was the outsider whose genius led to the overthrow of an entrenched and deeply loathed dictatorship. His message of social justice and modernisation resonated with many in the homeland, especially the marginalised ""lowlanders"" in Oromia and Ogadenia. His concept of revolutionary democracy and ethnic federalism promised to create a fairer and inclusive order. Measured against these lofty and progressive ideals, his record has, at best, been patchy and rather uninspiring. The much-vaunted ambitious economic modernisation and liberalisation programme has created a new middle class, attracted huge foreign investment, spawned massive infrastructure projects, spurred economic growth and generally transformed the skylines of the major cities such as Addis Ababa and Mekele. But it has not tackled the deep structural and systemic problems and inefficiencies that have hampered real growth. The Stalinist land tenure system and the complex bureaucratic system are still intact, and the vast majority remain trapped in poverty. The democratisation and political reform process, which Mr Meles himself termed ""work in progress,"" has long stalled. Since the disputed May 2005 polls, the regime has increasingly become intolerant and autocratic, using a raft of new legislation to stifle and criminalise dissent and lock up opponents. Why West will miss Meles Obituary: Meles Zenawi Life in pictures: Ethiopia's Meles Zenawi A plethora of old and new armed ethnic factions continue to wage low-level insurgencies in the periphery. The new policy of engagement and piecemeal peace pacts with a select few has so far only succeeded in managing the problem and buying the regime more time. Feeling vulnerable and insecure, Mr Meles has in the last few years become a leader whose overriding domestic political manoeuvres and calculations are driven by one instinct: regime survival. He orchestrated a discreet purge of the ruling Ethiopian People's Revolutionary Democratic Front (EPRDF) and the administration, demoting, sidelining or reassigning key potential rivals and opponents. His death has certainly created a leadership vacuum at the top and with no clear figure groomed to succeed him, the battle for succession could prove destabilising. That said, the prospect of a large-scale upheaval, as some fear, is highly unlikely, partly because the country has a powerful, highly disciplined and cohesive army and security apparatus. The opposition can, in theory, capitalise on the disarray within the ruling party to advance its goals and press for an early poll, but that looks difficult given the narrow factionalism and disorganisation within its ranks, not to mention the fact most of the influential opposition figures are either in exile or locked up. Mr Meles has continued to enjoy good press in the region and across much of Africa, even as his stature diminished domestically. He is hugely admired and many seem prepared to overlook his personal frailties and forgive his leadership shortcomings for one simple reason: no other African leader has in recent times deployed such great intellectual energy and firepower and used his diplomatic talent and influence to articulate the continent's key priorities and demands at global forums. He did put Africa on the map, and as a skilled and effective negotiator and spokesman he certainly forced leaders in the developed world to listen. But whether this feat alone qualifies him to join the pantheon of the continent's great visionaries, like Kwame Nkrumah and Nelson Mandela, remains debatable. Not in contention though is the fact that the late prime minister - almost single-handedly - transformed Ethiopia from a deeply conflicted and war-wracked peripheral Horn of Africa state into a supremely self-assured African diplomatic and military powerhouse. From the mid-1990s and up until 2005, Ethiopia was a key stop for high-level Western dignitaries visiting the continent, and Mr Meles the must-see African leader whose advice and counsel was sought. Many embraced him as a reformer and an elite member of the so-called ""new breed"" of African leaders. The Ethiopian leader cultivated the new friendship and used it to forge strategic partnerships to raise his country's profile and advance its geopolitical and strategic national interests. He swiftly rebuilt and modernised the army, initially in a bid to achieve parity with Sudan and negotiate a detente from a position of strength, but subsequently to ""tame"" a belligerent Eritrea, with whom relations had began to dramatically deteriorate a few years after its independence in 1991. The two countries have since fought two bloody and costly border wars beginning from 1998. A peace pact and a border arbitration treaty brokered by international mediators failed to end to conflict permanently, partly because Addis Ababa refused to fully abide by the terms of the accords and to return the tiny barren piece of land awarded to Eritrea. Hostilities have continued to simmer ever since, and periodic flare-ups are common along the volatile border. It is plausible the death of Mr Meles may - far from creating opportunities for dialogue - spur Eritrea into escalating the tension. That would be a disastrous and risky gamble which Eritrea must be dissuaded from taking. It is unlikely this is a course of action that would help it secure its perceived legitimate rights, much less win it friends in the region and beyond. In Somalia, Ethiopia's military presence in the past year has been instrumental in putting the pressure on the militant group al-Shabab. Thousands of Ethiopian troops now control a number of key strategic areas in south-central Somalia. The death of Mr Meles has raised new anxieties among the regional allies with troops in Somalia. There are growing fears a destabilising succession battle and power struggle in Addis could potentially complicate matters and jeopardise the whole mission. Kenyan Prime Minister Raila Odinga said as much in a recent radio interview. Such fears are understandable, considering Ethiopia's history and political fragility. However, there is hope too the country has achieved a level of maturity and that it has the institutional mechanisms and the structural resilience to weather the current storm and ensure a smooth transition that allows for policy continuity in Somalia.",Human,original,t0,none,test
